#vertex distance parent
0 0 -1
1 2.74208 0
2 4.58833 1
3 4.58833 1
4 17.135 5
5 14.5817 1488
6 17.122 7
7 15.0275 1883
8 22.549 9
9 19.3683 302
10 25.4294 8
11 18.499 12
12 16.6625 642
13 21.5038 11
14 20.9041 11
15 21.2037 11
16 20.2789 17
17 17.3988 477
18 -1 -1
19 -1 -1
20 -1 -1
21 -1 -1
22 -1 -1
23 22.6388 24
24 19.9691 1091
25 19.1867 26
26 16.3065 450
27 18.9196 28
28 16.1775 1525
29 19.2871 32
30 22.4677 29
31 22.4677 29
32 17.0571 403
33 10.9016 39
34 13.1419 33
35 12.8441 33
36 13.1419 33
37 13.1419 33
38 13.1419 33
39 8.95897 523
40 12.8441 33
41 12.8441 33
42 13.1419 33
43 13.1419 33
44 -1 -1
45 -1 -1
46 18.9427 48
47 20.6219 1874
48 16.7991 2067
49 20.2684 107
50 10.7936 51
51 8.87922 337
52 13.4019 50
53 13.4019 50
54 13.4019 50
55 13.1811 50
56 21.7721 57
57 19.1341 1332
58 23.639 59
59 21.1762 1265
60 18.8469 61
61 16.7593 1010
62 15.462 64
63 18.9431 62
64 12.7572 2057
65 -1 -1
66 -1 -1
67 16.8254 7
68 19.3546 67
69 27.1187 70
70 23.6376 1350
71 16.9239 75
72 19.6287 71
73 19.9288 71
74 19.329 71
75 14.7602 775
76 22.8132 77
77 20.284 752
78 26.2943 76
79 23.6439 80
80 21.3069 1588
81 15.5055 82
82 12.6252 249
83 18.9866 81
84 -1 -1
85 -1 -1
86 -1 -1
87 -1 -1
88 18.0783 89
89 15.5489 40
90 21.3836 88
91 18.4907 97
92 19.2923 153
93 20.7711 91
94 21.0703 91
95 21.0703 91
96 21.0703 91
97 16.3849 622
98 17.8577 1257
99 21.0703 91
100 18.5655 902
101 20.0581 102
102 17.4498 1392
103 23.3634 101
104 23.2654 105
105 19.9601 415
106 20.7425 107
107 18.105 826
108 14.9992 109
109 12.692 2382
110 15.3184 111
111 12.9813 237
112 17.1076 113
113 14.6247 552
114 -1 -1
115 -1 -1
116 24.871 117
117 22.7492 2345
118 20.8107 119
119 17.9303 737
120 24.2918 118
121 23.3253 122
122 20.1447 107
123 16.7126 124
124 13.2315 2057
125 16.6522 126
126 14.2474 1011
127 13.9506 633
128 19.5621 130
129 19.6744 536
130 16.9241 2120
131 19.0666 48
132 20.8728 769
133 21.4193 134
134 18.2387 314
135 16.895 136
136 14.2873 698
137 13.4163 138
138 10.5362 1486
139 -1 -1
140 -1 -1
141 22.5181 142
142 20.2252 1976
143 22.5091 72
144 18.9526 145
145 16.5479 1692
146 19.4512 2343
147 -1 -1
148 -1 -1
149 17.1471 150
150 15.3256 832
151 19.1258 179
152 20.2079 788
153 17.1077 404
154 21.0677 155
155 17.7624 323
156 21.4101 68
157 23.8152 156
158 24.415 156
159 23.4657 156
160 24.415 156
161 19.2198 162
162 16.9111 627
163 22.0035 161
164 17.5271 616
165 22.3037 161
166 20.2789 17
167 15.0009 168
168 12.6481 634
169 18.8769 170
170 16.394 728
171 21.6443 172
172 19.3769 1072
173 24.9496 171
174 24.9496 171
175 -1 -1
176 -1 -1
177 18.5832 178
178 16.7024 762
179 16.421 136
180 19.2504 179
181 17.0444 184
182 17.9777 506
183 15.3457 1473
184 14.9558 1587
185 19.8281 181
186 18.611 506
187 24.0629 188
188 21.1828 1689
189 13.5253 190
190 10.9177 1305
191 13.172 198
192 15.0084 191
193 15.0084 191
194 15.2271 191
195 15.1037 191
196 15.0084 191
197 15.4015 191
198 10.9426 1449
199 15.2271 191
200 16.2002 201
201 12.8949 378
202 25.3236 203
203 22.143 1926
204 18.9891 205
205 16.682 233
206 -1 -1
207 -1 -1
208 24.082 209
209 20.9014 1528
210 14.8464 111
211 17.4547 210
212 16.3849 622
213 19.5454 214
214 17.4114 1810
215 28.8755 216
216 25.3944 386
217 21.9289 219
218 20.6619 1439
219 19.2909 494
220 17.1076 113
221 21.2217 222
222 18.6931 1286
223 17.6166 192
224 17.7921 192
225 18.0923 192
226 -1 -1
227 -1 -1
228 -1 -1
229 -1 -1
230 28.5456 231
231 25.0645 2056
232 15.3184 111
233 14.8464 111
234 15.3184 111
235 15.3184 111
236 15.3184 111
237 10.9426 1449
238 15.02 111
239 15.02 111
240 15.02 111
241 15.02 111
242 19.5515 243
243 16.4677 1033
244 -1 -1
245 -1 -1
246 22.0139 247
247 19.4606 1290
248 12.6252 249
249 10.4406 697
250 12.3333 798
251 15.2055 248
252 14.4563 255
253 17.7616 252
254 17.7616 252
255 12.2929 1673
256 20.5126 260
257 23.5964 256
258 23.5964 256
259 19.2903 1500
260 18.424 292
261 23.5964 256
262 20.0262 264
263 17.5423 323
264 17.0212 1074
265 14.6729 267
266 17.6779 265
267 12.6411 1771
268 16.7047 265
269 -1 -1
270 -1 -1
271 27.3851 272
272 24.2045 925
273 20.4074 277
274 23.5881 273
275 23.5881 273
276 21.5025 2186
277 17.5271 616
278 17.122 7
279 21.3673 280
280 18.9045 1432
281 24.6726 279
282 24.6726 279
283 19.8592 284
284 16.979 1708
285 17.3983 75
286 20.4033 285
287 22.6306 289
288 20.8268 532
289 20.7805 2258
290 22.119 172
291 16.2823 293
292 16.3354 784
293 14.4573 1152
294 21.4561 295
295 18.7517 511
296 18.5209 297
297 16.3148 504
298 20.6838 296
299 19.0553 178
300 19.069 302
301 18.9728 302
302 16.7881 627
303 21.4567 301
304 22.2496 300
305 22.3421 306
306 19.5127 153
307 -1 -1
308 -1 -1
309 -1 -1
310 14.0353 311
311 10.9514 521
312 -1 -1
313 -1 -1
314 15.9002 581
315 20.4135 1732
316 21.7136 318
317 24.8943 316
318 19.0088 683
319 24.6525 320
320 21.7721 57
321 24.4129 322
322 21.2323 1226
323 15.4083 333
324 20.326 263
325 20.326 263
326 20.6261 263
327 22.383 328
328 19.2992 2003
329 13.0699 378
330 17.7624 323
331 17.4639 323
332 17.3977 323
333 13.0542 1450
334 18.2537 89
335 -1 -1
336 -1 -1
337 6.86918 2
338 6.69454 2
339 17.1972 340
340 15.3515 842
341 19.6388 339
342 19.34 339
343 19.34 339
344 16.5379 5
345 19.6388 339
346 19.012 785
347 19.34 339
348 13.5253 190
349 13.5253 190
350 20.6865 351
351 17.8063 1316
