Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   106440     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.00     0.00    76092     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::base() const
  0.00      0.00     0.00    69902     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00    54964     0.00     0.00  double& std::forward<double&>(std::remove_reference<double&>::type&)
  0.00      0.00     0.00    52780     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00    47508     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00    47508     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00    47508     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00    47508     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00    47499     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00    47499     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00    47499     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00    47499     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00    47499     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00    41544     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00    37046     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >(__gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&)
  0.00      0.00     0.00    31146     0.00     0.00  std::pair<int, double>* std::__niter_base<std::pair<int, double>*>(std::pair<int, double>*)
  0.00      0.00     0.00    30926     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::base() const
  0.00      0.00     0.00    29924     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    27322     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::__normal_iterator(std::pair<int, double>* const&)
  0.00      0.00     0.00    26692     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::__normal_iterator(std::pair<int, double> const* const&)
  0.00      0.00     0.00    23950     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator++()
  0.00      0.00     0.00    23950     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator*() const
  0.00      0.00     0.00    23381     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::size() const
  0.00      0.00     0.00    16355     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
