#vertex distance parent
0 0 -1
1 2.74208 0
2 20.6727 338
3 4.58833 1
4 22.0483 2523
5 24.6017 4
6 15.1962 7
7 13.1018 1289
8 19.3234 9
9 16.1427 601
10 22.2038 8
11 12.7872 14
12 14.6237 11
13 15.7921 11
14 10.3821 1449
15 15.492 11
16 21.5138 17
17 18.6336 477
18 -1 -1
19 -1 -1
20 27.6018 21
21 24.1207 107
22 31.0829 20
23 22.6388 24
24 19.9691 1091
25 18.5713 26
26 15.6912 449
27 12.5556 1835
28 15.2977 27
29 19.8116 32
30 22.9922 29
31 22.9922 29
32 17.5815 881
33 10.9016 39
34 13.1419 33
35 12.8441 33
36 13.1419 33
37 13.1419 33
38 13.1419 33
39 8.95897 523
40 12.8441 33
41 12.8441 33
42 13.1419 33
43 13.1419 33
44 -1 -1
45 -1 -1
46 23.7648 47
47 21.6932 2450
48 16.7991 2067
49 22.6165 107
50 19.3376 52
51 24.9636 337
52 16.7293 1060
53 16.7293 1060
54 16.7293 1060
55 20.5292 486
56 21.7721 57
57 19.1341 1332
58 23.639 59
59 21.1762 1265
60 17.7999 136
61 18.1436 1868
62 24.1628 64
63 27.6439 62
64 21.4581 884
65 -1 -1
66 -1 -1
67 14.8996 7
68 17.4288 67
69 27.1187 70
70 23.6376 1350
71 27.356 74
72 30.0608 71
73 30.3609 71
74 24.951 447
75 19.2871 775
76 22.1203 77
77 19.5911 974
78 25.6014 76
79 22.2274 509
80 21.3069 1588
81 15.5055 82
82 12.6252 249
83 18.9866 81
84 -1 -1
85 -1 -1
86 -1 -1
87 -1 -1
88 18.0783 89
89 15.5489 40
90 21.3836 88
91 18.5382 97
92 20.4249 91
93 20.4229 723
94 21.1178 91
95 19.4099 2268
96 21.1178 91
97 16.4324 622
98 17.8577 1257
99 21.1178 91
100 18.5655 902
101 19.2236 102
102 16.6153 333
103 22.5289 101
104 23.2654 105
105 19.9601 415
106 23.0907 107
107 20.4531 824
108 14.9992 109
109 12.692 2382
110 15.3184 111
111 12.9813 237
112 17.1076 113
113 14.6247 552
114 -1 -1
115 -1 -1
116 21.8687 117
117 19.7469 2345
118 -1 -1
119 18.4131 737
120 -1 -1
121 25.6735 122
122 22.4928 107
123 16.7126 124
124 13.2315 2057
125 18.0399 127
126 17.9391 358
127 15.3351 633
128 19.5621 130
129 20.2686 536
130 16.9241 2120
131 19.0666 48
132 20.8728 769
133 26.078 134
134 22.8974 315
135 16.895 136
136 14.2873 698
137 -1 -1
138 26.7577 1488
139 34.4597 140
140 30.9786 307
141 21.7881 142
142 19.4952 1643
143 27.4914 2511
144 18.9526 145
145 16.5479 1692
146 19.4512 2343
147 26.4252 148
148 23.2446 778
149 22.544 150
150 20.7225 840
151 19.1258 179
152 20.2079 788
153 21.7165 460
154 26.3787 155
155 23.0734 356
156 17.3113 160
157 19.7164 156
158 20.3161 156
159 19.3668 156
160 14.3064 692
161 20.3108 164
162 22.6196 161
163 22.2554 180
164 17.5271 616
165 23.3947 161
166 21.5138 17
167 -1 -1
168 12.6481 634
169 22.6508 170
170 20.1679 728
171 22.4499 172
172 20.1825 1070
173 25.7552 171
174 -1 -1
175 30.7955 176
176 27.0139 770
177 19.401 178
178 17.5203 299
179 16.421 136
180 19.2504 179
181 16.5114 182
182 14.5355 506
183 15.3457 1473
184 18.5563 243
185 19.2951 181
186 15.1688 506
187 24.0629 188
188 21.1828 1689
189 16.951 190
190 14.3433 250
191 13.172 198
192 15.0084 191
193 15.0084 191
194 15.2271 191
195 15.1037 191
196 15.0084 191
197 15.4015 191
198 10.9426 1449
199 15.2271 191
200 16.2002 201
201 12.8949 378
202 25.9467 203
203 22.7661 1558
204 18.9891 205
205 16.682 233
206 -1 -1
207 -1 -1
208 23.2022 209
209 20.0216 1528
210 14.8464 111
211 17.4547 210
212 16.4324 622
213 19.5454 214
214 17.4114 1810
215 28.1826 216
216 24.7015 386
217 21.9289 219
218 20.6619 1439
219 19.2909 494
220 16.109 1312
221 21.2217 222
222 18.6931 1286
223 20.8166 508
224 17.7921 192
225 18.0923 192
226 -1 -1
227 -1 -1
228 -1 -1
229 -1 -1
230 26.6199 231
231 23.1388 2056
232 15.3184 111
233 14.8464 111
234 15.3184 111
235 15.3184 111
236 15.3184 111
237 10.9426 1449
238 15.02 111
239 25.7228 2289
240 15.02 111
241 22.7554 2338
242 19.5515 243
243 16.4677 1033
244 21.8343 245
245 18.3532 1708
246 24.0309 247
247 21.4775 509
248 12.6252 249
249 10.4406 697
250 12.3333 798
251 15.2055 248
252 14.4563 255
253 17.7616 252
254 17.7616 252
255 12.2929 1673
256 20.5126 260
257 23.5964 256
258 23.5964 256
259 20.163 1500
260 18.424 292
261 -1 -1
262 20.326 263
263 17.5423 323
264 23.331 262
265 14.6729 267
266 17.6779 265
267 12.6411 1771
268 16.7047 265
269 -1 -1
270 -1 -1
271 27.3851 272
272 24.2045 925
273 20.4074 277
274 23.5881 273
275 23.5881 273
276 23.1122 273
277 17.5271 616
278 15.1962 7
279 21.3673 280
280 18.9045 1432
281 24.6726 279
282 24.6726 279
283 23.6303 284
284 20.7502 100
285 21.9251 75
286 24.7215 797
287 14.687 1959
288 17.5164 287
289 16.537 287
290 22.9246 172
291 19.1191 292
292 16.3354 784
293 18.2992 1145
294 21.472 295
295 18.7677 2266
296 23.4307 1922
297 21.5702 503
298 23.7336 2509
299 15.1674 702
300 19.069 302
301 18.9728 302
302 16.7881 627
303 21.4567 301
304 22.2496 300
305 26.9509 306
306 24.1215 153
307 27.4975 916
308 -1 -1
309 -1 -1
310 14.0353 311
311 10.9514 521
312 -1 -1
313 -1 -1
314 15.9002 581
315 20.4135 1732
316 21.8609 318
317 25.0416 316
318 19.1562 683
319 24.6525 320
320 21.7721 57
321 24.4129 322
322 21.2323 1226
323 15.4083 333
324 20.326 263
325 20.326 263
326 20.6261 263
327 18.0224 861
328 19.2992 2003
329 13.0699 378
330 17.7624 323
331 17.4639 323
332 17.3977 323
333 13.0542 1450
334 18.2537 89
335 28.8163 336
336 26.9006 2059
337 22.9536 2
338 18.5665 1305
339 20.8577 346
340 22.7034 339
341 23.2993 339
342 23.0005 339
343 -1 -1
344 22.7034 339
345 23.2993 339
346 19.012 785
347 23.0005 339
348 16.951 190
349 16.951 190
